State,Abbrev,# Registered Voters,Total Population,# Votes cast,Num Counties,Electoral Votes,latitude,longitude
Alabama,AL,2499000,5143033,1134546,67,9,32.318231,-86.902298
Alaska,AK,373000,733536,203658,30,3,63.588753,-154.493062
Arizona,AZ,3560000,7497004,1986480,15,11,34.048928,-111.093731
Arkansas,AR,1360000,3089060,597040,75,6,35.20105,-91.831833
California,CA,17032000,38889770,8771480,58,54,36.778261,-119.417932
Colorado,CO,3162000,5914181,1938306,64,10,39.550051,-105.782067
Connecticut,CT,1778000,3625646,881888,9,7,41.603221,-73.087749
Delaware,DE,578000,1044321,313276,3,3,38.910832,-75.52767
District of Columbia,DC,393000,681683,247197,1,3,38.905985,-77.033418
Florida,FL,9770000,22975931,4787300,67,30,27.664827,-81.515754
Georgia,GA,5275000,11145304,3001475,159,16,32.157435,-82.907123
Hawaii,HI,651000,1430877,325500,5,4,19.898682,-155.665857
Idaho,ID,917000,1990456,442911,44,4,44.068202,-114.742041
Illinois,IL,6110000,12516863,3183310,102,19,40.633125,-89.398528
Indiana,IN,3259000,6892124,1365521,92,11,40.551217,-85.602364
Iowa,IA,1732000,3214315,897176,99,6,41.878003,-93.097702
Kansas,KS,1587000,2944376,942678,105,6,39.011902,-98.484246
Kentucky,KY,2321000,4540745,1213883,120,8,37.839333,-84.270018
Louisiana,LA,2215000,4559475,1067630,64,8,31.244823,-92.145024
Maine,ME,856000,1402106,546128,16,4,45.253783,-69.445469
Maryland,MD,3301000,6196525,1911279,24,10,39.045755,-76.641271
Massachusetts,MA,3618000,7020058,2051406,14,11,42.407211,-71.382437
Michigan,MI,5797000,10041241,3669501,83,15,44.314844,-85.602364
Minnesota,MN,3255000,5761530,2073435,87,10,46.729553,-94.6859
Mississippi,MS,1572000,2940452,729408,82,6,32.354668,-89.398528
Missouri,MO,3532000,6215144,1868428,115,10,37.964253,-91.831833
Montana,MT,613000,1142746,346345,56,4,46.879682,-110.362566
Nebraska,NE,933000,1988698,455304,93,5,41.492537,-99.901813
Nevada,NV,1436000,3210931,730924,17,6,38.80261,-116.419389
New Hampshire,NH,804000,1405105,475164,10,4,43.193852,-71.572395
New Jersey,NJ,4402000,9320865,2223010,21,14,40.058324,-74.405661
New Mexico,NM,1026000,2115266,555066,33,5,34.97273,-105.032363
New York,NY,8897000,19469232,4368427,62,28,43.299428,-74.217933
North Carolina,NC,4583000,10975017,2094431,100,16,35.759573,-79.0193
North Dakota,ND,418000,788940,217360,53,3,47.551493,-101.002012
Ohio,OH,5890000,11812173,2815420,88,17,40.417287,-82.907123
Oklahoma,OK,1936000,4088377,909920,77,7,35.007752,-97.092877
Oregon,OR,2581000,4227337,1806700,36,8,43.804133,-120.554201
Pennsylvania,PA,7009000,12951275,4205400,67,19,41.203322,-77.194525
Rhode Island,RI,626000,1098082,340544,5,4,41.580095,-71.477429
South Carolina,SC,2491000,5464155,1118459,46,9,33.836081,-81.163725
South Dakota,SD,460000,928767,245640,66,3,43.969515,-99.901813
Tennessee,TN,3467000,7204002,1542815,95,11,35.517491,-86.580447
Texas,TX,12416000,30976754,5835520,254,40,31.968599,-99.901813
Utah,UT,1536000,3454232,811008,29,6,39.32098,-111.093731
Vermont,VT,393000,647818,244446,14,3,44.558803,-72.577841
Virginia,VA,4487000,8752297,2387084,133,13,37.431573,-78.656894
Washington,WA,4140000,7841283,2471580,39,12,47.751074,-120.740139
West Virginia,WV,877000,1766107,336768,55,4,38.597626,-80.454903
Wisconsin,WI,3225000,5931367,1964025,72,10,43.78444,-88.787868
Wyoming,WY,274000,586485,134260,23,3,43.075968,-107.290284
END,END,END,END,END,END,END,END,END
Notes,,,,,,,,
Numerical data are reported in thousands and apply to the 2014 through 2022 November Elections. Data may not sum to total due to rounding.,,,,,,,,
,,,,,,,,
*Voter Population* includes US citizens who are of voting age (18 years of age or older). This population may include individuals who are ineligible to vote for reasons other than lack of citizenship or who are under 18 years of age.,,,,,,,,
,,,,,,,,
Sources,,,,,,,,
U.S. Census Bureau - Current Population Survey: November 2014  2016  2018  2020  and 2022; [Voting and Registration Tables](https://www.census.gov/topics/public-sector/voting/data/tables.html).,,,,,,,,
,,,,,,,,
Source:,,,,,,,,
"https://www.kff.org/other/state-indicator/number-of-voters-and-voter-registration-in-thousands-as-a-share-of-the-voter-population/?currentTimeframe=0&sortModel=%7B%22colId%22:%22Location%22,%22sort%22:%22asc%22%7D",,,,,,,,
,,,,,,,,
https://en.wikipedia.org/wiki/Electoral_precinct,,,,,,,,
,,,,,,,,
https://developers.google.com/public-data/docs/canonical/states_csv,,,,,,,,
